Title,Genre,Runtime,IMDB Score,Language
My Own Man,Documentary,89,6.4,English
The Other One: The Long Strange Trip of Bob Weir,Documentary,85,7.3,English
Hot Girls Wanted,Documentary,84,7.0,English
"What Happened Miss Simone?",Documentary,84,7.6,English
Just Say Yes,Romantic comedy,97,4.0,Dutch
Keith Richards: Under the Influence,Documentary,81,7.1,English
Winter on Fire: Ukraine Fight for Freedom,Documentary,92,8.4,Ukranian
Beasts of No Nation,Drama,136,7.7,English
A Very Murray Christmas,Comedy ,56,5.5,English
The Ridiculous 6,Western,119,4.8,English
