Title,Genre,Premiere,Runtime,IMDB Score,Language
My Own Man,Documentary,13-Dec-14,81,6.4,English
The Other One: The Long Strange Trip of Bob Weir,Documentary,22-May-15,83,7.3,English
Hot Girls Wanted,Documentary,29-May-15,84,6.1,English
"What Happened, Miss Simone?",Documentary,26-Jun-15,84,7.6,English
Tig,Documentary,17-Jul-15,80,7.4,English
Keith Richards: Under the Influence,Documentary,18-Sep-15,81,7.1,English
Winter on Fire: Ukraine's Fight for Freedom,Documentary,9-Oct-15,91,8.4,English/Ukranian/Russian
Beasts of No Nation,War drama,16-Oct-15,136,7.7,English/Akan
A Very Murray Christmas,Comedy / Musical,4-Dec-15,56,5.5,English
The Ridiculous 6,Western,11-Dec-15,119,4.8,English
My Beautiful Broken Brain,Documentary,18-Mar-16,91,7.1,English
Pee-wee's Big Holiday,Adventure,18-Mar-16,89,6.1,English
The Do-Over,Action comedy,27-May-16,108,5.7,English
The Fundamentals of Caring,Comedy-drama,24-Jun-16,97,7.3,English
Brahman Naman,Comedy,7-Jul-16,95,5.6,English
Rebirth,Thriller,15-Jul-16,100,5,English
Tallulah,Comedy-drama,29-Jul-16,111,6.7,English
I'll Sleep When I'm Dead,Documentary,19-Aug-16,79,6.6,English
XOXO,Drama,26-Aug-16,92,5.3,English
Extremis,Documentary,13-Sep-16,24,7.3,English
ARQ,Science fiction/Thriller,16-Sep-16,88,6.4,English
Audrie & Daisy,Documentary,23-Sep-16,98,7.2,English
Amanda Knox,Documentary,30-Sep-16,92,6.9,English
13th,Documentary,7-Oct-16,100,8.2,English
The Siege of Jadotville,War,7-Oct-16,108,7.2,English
Justin Timberlake + The Tennessee Kids,Concert Film,12-Oct-16,90,7.7,English
Mascots,Mockumentary,13-Oct-16,95,5.8,English
Sky Ladder: The Art of Cai Guo-Qiang,Documentary,14-Oct-16,79,7.3,English/Mandarin
Into the Inferno,Documentary,28-Oct-16,107,7.2,English
7 a�os,Drama,28-Oct-16,76,6.8,Spanish
I Am the Pretty Thing That Lives in the House,Horror,28-Oct-16,89,4.6,English
The Ivory Game,Documentary,4-Nov-16,112,7.9,English
True Memoirs of an International Assassin,Action comedy,11-Nov-16,98,5.9,English
Mercy,Thriller,22-Nov-16,90,4.2,English
Spectral,Science fiction/Action,9-Dec-16,108,6.3,English
Barry,Biopic,16-Dec-16,104,5.8,English
Coin Heist,Heist,6-Jan-17,97,4.8,English
Clinical,Thriller,13-Jan-17,104,5.1,English
Take the 10,Comedy,20-Jan-17,80,4.8,English
13th: A Conversation with Oprah Winfrey & Ava DuVernay,Aftershow / Interview,26-Jan-17,36,7.1,English
iBoy,Science fiction/Thriller,27-Jan-17,90,6,English
Imperial Dreams,Drama,3-Feb-17,87,6.7,English
"Michael Bolton's Big, Sexy, Valentine's Day Special",Variety Show,7-Feb-17,54,6.7,English
Girlfriend's Day,Comedy,14-Feb-17,70,5.2,English
I Don't Feel at Home in This World Anymore,Drama,24-Feb-17,96,6.9,English
Burning Sands,Drama,10-Mar-17,102,6.1,English
Deidra & Laney Rob a Train,Drama,17-Mar-17,94,6.1,English
The Most Hated Woman in America,Biopic,24-Mar-17,92,6.1,English
The Discovery,Science fiction/Drama,31-Mar-17,102,6.3,English
The Mars Generation,Documentary,5-May-17,97,6.4,English
Handsome: A Netflix Mystery Movie,Comedy,5-May-17,81,5.2,English
Get Me Roger Stone,Documentary,12-May-17,101,7.3,English
Laerte-se,Documentary,19-May-17,100,6.9,Portuguese
Blame!,Anime/Science fiction,20-May-17,106,6.7,Japanese
Joshua: Teenager vs. Superpower,Documentary,26-May-17,78,7.1,English
War Machine,War-Comedy,26-May-17,122,6,English
Shimmer Lake,Crime thriller,9-Jun-17,86,6.3,English
CounterPunch ,Documentary,16-Jun-17,91,6.7,English
Nobody Speak: Trials of the Free Press,Documentary,23-Jun-17,95,6.5,English
Okja,Action-adventure,28-Jun-17,121,7.3,English/Korean
Chasing Coral ,Documentary,14-Jul-17,89,8.1,English
To the Bone,Drama,14-Jul-17,107,6.8,English
The Incredible Jessica James,Comedy,28-Jul-17,83,6.5,English
Icarus,Documentary,4-Aug-17,120,7.9,English
Naked,Comedy,11-Aug-17,96,5.4,English
Death Note,Horror thriller,25-Aug-17,100,4.4,English
Resurface,Documentary,1-Sep-17,27,7,English
Little Evil,Comedy horror,1-Sep-17,94,5.7,English
#REALITYHIGH,Comedy,8-Sep-17,99,5.2,English
